"word","sentence","translation","word_translation"
"방향","나는 항상 나의 꿈을 향한 방향으로 나아가고 있다.","I'm always moving towards my dream.","direction"
"방향","내일 아침 일찍 출발하면 도착하는 방향에 더 좋은 호텔이 있다.","If you leave early tomorrow morning, there is a better hotel in the direction you will arrive.","direction"
"방향","어떤 방향으로든지 결정해도 좋으니 마음대로 해.","You can decide in any direction you want, so do as you please.","direction"
"방향","편의점을 나가면서 왼쪽 방향으로 걸어가면 더 많은 상점이 있다.","There are more shops if you walk to the left direction as you leave the convenience store.","direction"
"방향","도시의 남쪽 방향으로는 아름다운 해변이 있다.","There is a beautiful beach to the south direction of the city." ,"direction"
"회전","그녀는 더 높은 수익을 회전했다.","She generated higher profits through rotation.","rotation"
"회전","회사의 이익은 회전에 따라 다르다.","Company profits vary depending on the rotation.","rotation"
"회전","차량이 회전하면서 바퀴가 굴러갔다.","The wheels rolled as the car turned.","rotation"
"회전","사람들은 머리를 회전하는 동안 목을 다칠 수 있다.","People can hurt their necks while turning their heads.","rotation"
"회전","작은 부엌은 요리하면서 머리를 돌리는 것이 어려워서 회전에서 벗어나야 한다.","In a small kitchen, it's necessary to step away from rotation while cooking and turning one's head is difficult.","rotation"
"육아","육아 휴직이 필요한가요?","Do you need a childcare leave?","care"
"육아","남편은 육아를 해주고, 아내는 일을 하고 있습니다.","The husband takes care of the children and the wife is working.","care"
"육아","육아 중인 부모들은 자녀에 대한 관심을 놓치지 않아야 합니다.","Parents raising children should not miss their interest in their children.","care"
"육아","육아는 어렵고 힘든 일이지만 보람도 큽니다.","Raising children is difficult and challenging, but it's also rewarding.","care"
"육아","육아를 하면서도 꾸준히 일을 하기는 어렵지만 가능합니다.","It's possible to work steadily while taking care of children, even though it's not easy.","care"
"꾸준히","공부를 꾸준히 해야 좋은 성적을 얻을 수 있습니다.","You need to study consistently to get good grades.","consistently"
"꾸준히","운동을 꾸준히 하면 건강에 좋습니다.","Exercising regularly is good for your health.","consistently"
"꾸준히","한국어를 꾸준히 공부하면 서서히 능숙해질 수 있습니다.","You can gradually become proficient in Korean by studying it consistently.","consistently"
"꾸준히","목표를 정하고 꾸준히 노력하면 언젠가는 성취할 수 있습니다.","If you set a goal and work on it consistently, you can eventually achieve it.","consistently"
"꾸준히","생각을 꾸준히 정리하면 더욱 창의적인 아이디어를 생각해낼 수 있습니다.","If you consistently organize your thoughts, you can come up with more creative ideas.","consistently"
"휴직","휴직을 하면 직장에서 일을 끊어야 한다.","If you take a leave of absence, you have to cut off work at the workplace.","absence"
"휴직","내가 휴직을 신청하면 그것을 허락해 줄까?","If I apply for a leave of absence, will they allow it?","absence"
"휴직","나는 임신 중에 휴직을 썼다.","I took a leave of absence during my pregnancy.","absence"
"휴직","그는 회사에서 휴직을 신청했다.","He applied for a leave of absence at the company.","absence"
"휴직","회사에서는 휴직자에 대해 월급을 주지 않는다.","The company does not pay salaries to those on leave.","absence"
"급여","급여가 늘어날수록 더 많은 돈이 필요해져요.","As your salary increases, you need more money.","salary"
"급여","이 회사는 직원들의 급여를 매달 지급합니다.","This company pays its employees' salaries every month.","salary"
"급여","저는 이 직장에서 일하면서 급여 외에도 많은 혜택을 받을 수 있습니다.","I can get a lot of benefits in addition to my salary while working at this job.","salary"
"급여","급여가 낮아도 좋은 경험을 쌓을 수 있는 일을 찾고 있어요.","I'm looking for a job where I can gain good experience even if the salary is low.","salary"
"급여","저는 이 회사에서 급여를 높이기 위해 열심히 일할 거예요.","I will work hard at this company to increase my salary.","salary"
"상승","주식의 가격이 상승하면 매수하세요.","If the stock price rises, buy.","increase"
"상승","최근 경기 상황의 상승으로 인하여 신규 고용이 늘어날 것입니다.","Due to the recent economic upturn, new employment is expected to increase.","increase"
"상승","이번 분기 매출이 상승했습니다.","Sales increased this quarter.","increase"
"상승","오늘 아침 기온이 상승했습니다.","The temperature has risen this morning.","increase"
"상승","물가 상승으로 경제적 압박이 커지고 있습니다.","Economic pressure is increasing due to rising prices.","increase"
"분위","저녁에 가면 분위기가 더 좋아요","The atmosphere is better at night","atmosphere"
"분위","날씨가 좋을 때 분위기가 더 좋아요","The atmosphere is better when the weather is good","atmosphere"
"분위","여기 분위기가 참 좋아요","The atmosphere here is really good","atmosphere"
"분위","분위기를 한번 살펴봐야겠어요","I need to take a look at the atmosphere first","atmosphere"
"분위","분위기는 이번이 제일 좋았어요","This time had the best atmosphere","atmosphere"
"발표", "내일 학회에서 발표를 할 예정입니다.", "I'm scheduled to give a presentation at the conference tomorrow.","presentation"
"발표", "지난 달의 판매 결과를 발표했습니다.", "We announced last month's sales results.","presentation"
"발표", "발표 자료를 준비하는 데 시간이 좀 걸릴 것 같아요.", "I think it will take some time to prepare the presentation materials.","presentation"
"발표", "그의 발표는 모두에게 인상 깊게 다가왔습니다.", "His presentation made a deep impression on everyone.","presentation"
"발표", "발표에 대한 질문이 있으시면 언제든지 해주세요.", "Please feel free to ask any questions about the presentation.","presentation"
"부서", "나는 회사의 인사부서에서 일한다.", "I work in the human resources department of the company.","department"
"부서", "우리 회사의 마케팅 부서에서는 새로운 제품을 개발 중이다.", "The marketing department of our company is developing a new product.","department"
"부서", "그 회사는 부서가 너무 많다.", "That company has too many departments.","department"
"부서", "경영부서에서는 이번 분기 실적이 좋아질 것으로 예상된다.", "It is expected that the performance of this quarter will improve in the management department.","department"
"부서", "그는 인사부서장으로 승진했다.", "He was promoted to the head of the human resources department.","department"
"일정",	"일정을 잡았어요.", "I set a schedule.","schedule"
"일정",	"오늘 일정이 뭐예요?" ,	"What's on the schedule for today?","schedule"
"일정",	"일정이 꽉 찼어요.","The schedule is fully booked.","schedule"
"일정", "일정 변경이 필요해요.","We need to make a schedule change.","schedule"
"일정",	"일정을 소화할 수 있을까요?","Can we handle the schedule?","schedule"
"목적지","나는 항상 여행할 때 목적지를 정하는 게 어렵다.","I always find it difficult to decide on a destination when I travel.","destination"
"목적지","이 기차는 서울역을 출발하여 부산역이 종착지입니다.","This train departs from Seoul Station and arrives at Busan Station.","destination"
"목적지","저희 회사는 고객 만족도 향상을 목적으로 합니다.","Our company aims to improve customer satisfaction.","destination"
"목적지","그녀는 올해의 목적지를 유럽 여행으로 결정했다.","She decided to make Europe her destination for this year.","destination"
"목적지","이 비행기는 타이베이를 목적지로 합니다.","This plane is headed for Taipei.","destination"
"실수","나는 어제 시험에서 실수를 했다.","I made a mistake on the exam yesterday.","mistake"
"실수","그가 실수로 무언가를 깨뜨렸다.","He accidentally broke something.","mistake"
"실수","그녀는 실수로 그의 비밀을 폭로했다.","She accidentally revealed his secret.","mistake"
"실수","실수를 했다고 자책하지 마세요.","Don't beat yourself up over the mistake.","mistake"
"실수","실수를 한 것 같아요.","I think I made a mistake.","mistake"
"견디다","나는 시험에서 압도당할 것 같았지만, 어떻게든 견뎌냈다.","I thought I would be overwhelmed by the test, but I managed to endure it somehow.","to endure"
"견디다","어려운 시기를 견디는 것은 생각보다 힘들다.","Enduring difficult times is harder than you think.","to endure"
"견디다","내 인내심은 한계에 다다르고 있습니다.","My patience is wearing thin.","to endure"
"견디다","그녀는 자신의 남편의 외도를 견뎌내지 못했다.","She couldn't endure her husband's infidelity.","to endure"
"견디다","이 모든 것을 견디기에 너무 힘들어.","It's too hard to endure all of this.","to endure"
"서두르다","아침에 항상 서두르는데 오늘은 왜 그렇게 늦게 일어났어요?","I always hurry in the morning, but why did you wake up so late today?","to hurry"
"서두르다","회의 시작 시간에 맞추려고 서두르다가 실수를 했다.","I made a mistake while hurrying to be on time for the meeting.","to hurry"
"서두르다","퇴근길이라 서두르고 있었는데, 교통사고 때문에 늦었다.","I was hurrying on my way home, but I was late because of a traffic accident.","to hurry"
"서두르다","마감일이 얼마 남지 않아서 서두르고 있어요.","I'm hurrying because there are only a few days left until the deadline.","to hurry"
"서두르다","어제는 일찍 나갔지만, 오늘은 서두르다가 늦었다.","I left early yesterday, but today I was late because I was hurrying.","to hurry"
"유기농","그는 유기농 작물을 재배하는데 매우 열정적입니다.","He is very passionate about growing organic crops.","organic"
"유기농","저는 유기농 식품을 먹는 것을 좋아합니다.","I like eating organic food.","organic"
"유기농","우리는 유기농 방식으로 농사를 짓고 있습니다.","We are farming using organic methods.","organic"
"유기농","유기농 농산물이 비싸지만 건강에 좋습니다.","Organic produce is expensive but good for your health.","organic"
"유기농","유기농 인증을 받으려면 매우 엄격한 기준을 지켜야 합니다.","You must adhere to very strict standards to receive organic certification.","organic"
"밀가루","밀가루를 사러 가야 해요.","I need to go buy flour.","flour"
"밀가루","저는 밀가루 없이 요리를 못 해요.","I can't cook without flour.","flour"
"밀가루","요즘 밀가루 값이 많이 오른다고 하던데.","I heard the price of flour has gone up a lot recently.","flour"
"밀가루","밀가루 대신 쌀가루를 써도 될까요?","Can I use rice flour instead of wheat flour?","flour"
"밀가루","이 케이크에는 밀가루 대신에 아몬드 가루를 사용했어요.","I used almond flour instead of wheat flour in this cake.","flour"
"충전","핸드폰이 방전돼서 충전해야 해요.","I need to charge my phone because it's dead.","charge"
"충전","이 전기차는 한 번 충전으로 500km 정도 갈 수 있어요.","This electric car can go about 500km on a single charge.","charge"
"충전","저녁에 핸드폰 충전기를 이용할 수 있나요?","Can I use the phone charger in the evening?","charge"
"충전","내일 출장을 가서 노트북 배터리를 충전해야 해요.","I'm going on a business trip tomorrow and I need to charge my laptop battery.","charge"
"충전","이 전동 드릴은 충전이 된 상태에서 2시간 정도 사용할 수 있어요.","This electric drill can be used for about 2 hours on a fully charged battery.","charge"
"넣다","그릇에 물을 넣어주세요.","Please put water in the bowl.","to put in"
"넣다","손을 물에 넣고 씻으세요.","Put your hands in the water and wash them.","to put in"
"넣다","너무 많은 양의 소금을 넣었어요.","I put too much salt in it.","to put in"
"넣다","우리는 커피에 우유를 넣는다.","We put milk in our coffee.","to put in"
"넣다","냄비에 기름을 넣는다.","Put some oil in the pot.","to put in"
"방과","내일 점심은 방과 후에 먹으러 가자.","Let's go eat after school tomorrow.","school"
"방과","오늘 방과 후에 학생회의가 있어.","There is a student council meeting after school today.","school"
"방과","우리 학교 방과후 수업은 다양하게 있어.","There are various after-school classes at our school.","school"
"방과","학교 방과후에는 학생들이 다양한 활동을 할 수 있다.","Students can engage in various activities after school.","school"
"방과","우리 학교 방과후에는 맛있는 학식을 먹을 수 있다.","We can have delicious school meals after school at our school.","school"
